主要時系列統計データ表
2025/11/13 15:00
"","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）"
"系列名称","[国内企業物価指数] 総平均（前年比）","[輸出物価指数/円ベース] 総平均（前年比）","[輸入物価指数/円ベース] 総平均（前年比）","[連鎖方式による国内企業物価指数] 総平均（前年比）","[国内企業物価指数] 総平均","(参考)夏季電力料金調整後/総平均","[輸出物価指数/円ベース] 総平均","[輸入物価指数/円ベース] 総平均","[連鎖方式による国内企業物価指数] 総平均"
"データコード",PR01'PRCG20_2200000000%,PR01'PRCG20_2400000000%,PR01'PRCG20_2600000000%,PR01'PRCG20_32C0000000%,PR01'PRCG20_2200000000,PR01'PRCG20_22G2200000,PR01'PRCG20_2400000000,PR01'PRCG20_2600000000,PR01'PRCG20_32C0000000
"単位",％,％,％,％,2020年=100,2020年=100,2020年=100,2020年=100,2020年=100
"収録開始期","1961/01","1961/01","1961/01","1996/01","1960/01","1990/01","1960/01","1960/01","1995/01"
"収録終了期","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10"
"最終更新日","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13"
1980/01,13.8,20.8,84.4,,102.9,,193.7,166.5,
1980/02,15.2,20.9,89.2,,104.8,,196.7,177.5,
1980/03,16.3,19.6,86.5,,106.4,,199.3,180,
1980/04,18.5,17.4,78.1,,109.7,,201.5,182.2,
1980/05,18.4,10.6,56.4,,110.6,,193.4,171.4,
1980/06,17.7,6.6,46.6,,111,,188.3,166.2,
1980/07,16,7.1,40.9,,111.4,,189.6,168.4,
1980/08,15.5,7.1,37.1,,112,,191.3,172.5,
1980/09,14.4,3.9,29.7,,112.2,,187.9,168.8,
1980/10,12.9,0.5,21.4,,111.5,,186.4,164,
1980/11,11.8,-2.2,14.5,,111.4,,187.9,166.2,
1980/12,10.4,-3.1,7.7,,111.4,,186.8,164.7,
1981/01,8.1,-4.8,-2.8,,111.1,,184.5,162,
1981/02,5.7,-5.6,-7.3,,110.6,,185.8,164.5,
1981/03,3.8,-6,-7,,110.4,,187.4,167.2,
1981/04,0.8,-5.4,-6.4,,110.5,,190.7,170.5,
1981/05,0.3,0.2,1.9,,110.9,,193.9,174.7,
1981/06,-0.2,4.2,6.4,,110.8,,196.2,176.8,
1981/07,-0.4,5.3,6.7,,111,,199.6,179.6,
1981/08,-0.5,5.1,4.6,,111.4,,201.2,180.6,
